node,label,type,degree,weighted_degree
33,33,actor,17,48
0,0,actor,16,42
32,32,actor,12,38
2,2,actor,10,33
1,1,actor,9,29
31,31,actor,6,21
23,23,actor,5,21
3,3,actor,6,18
8,8,actor,5,17
13,13,actor,5,17
5,5,actor,4,14
25,25,actor,3,14
6,6,actor,4,13
7,7,actor,4,13
27,27,actor,4,13
29,29,actor,4,13
30,30,actor,4,11
4,4,actor,3,8
10,10,actor,3,8
24,24,actor,3,7
15,15,actor,2,7
28,28,actor,3,6
16,16,actor,2,6
26,26,actor,2,6
19,19,actor,3,5
14,14,actor,2,5
22,22,actor,2,5
12,12,actor,2,4
20,20,actor,2,4
21,21,actor,2,4
9,9,actor,2,3
17,17,actor,2,3
18,18,actor,2,3
11,11,actor,1,3
