community_id,actor_id,actor_name,weighted_degree,degree,actor_projects,producer_titles_count,all_roles,community_top_title_by_votes,community_top_title_votes,community_top_title_rating
2,nm0008724,Dawlat Abiad,9,9,1,0,actress,Zeinab (1930),11,7.9
6,nm0000370,Walt Disney,217,48,89,0,"actor, director, writer",Steamboat Willie (1928),12653,7.4
6,nm0411208,Rudolf Ising,136,41,48,75,"actor, director, producer",Steamboat Willie (1928),12653,7.4
6,nm0907003,Jerry Wald,18,18,2,0,"actor, writer",Steamboat Willie (1928),12653,7.4
6,nm0281502,Max Fleischer,17,6,72,219,"actor, director, producer, writer",Steamboat Willie (1928),12653,7.4
6,nm0281487,Dave Fleischer,15,9,8,0,"actor, director",Steamboat Willie (1928),12653,7.4
6,nm0526691,Charles Lung,15,13,4,0,actor,Steamboat Willie (1928),12653,7.4
6,nm0338017,Joseph Green,15,15,2,0,"actor, director, writer",Steamboat Willie (1928),12653,7.4
6,nm0363414,Hugh Harman,9,8,2,75,"actor, director, producer",Steamboat Willie (1928),12653,7.4
6,nm0412650,Ub Iwerks,5,5,1,27,"actor, director, producer, writer",Steamboat Willie (1928),12653,7.4
6,nm0085626,Norm Blackburn,4,4,1,0,actor,Steamboat Willie (1928),12653,7.4
6,nm0254749,Carlyle Ellis,2,2,1,0,actor,Steamboat Willie (1928),12653,7.4
7,nm0176470,Aníbal Contreiras,4,4,1,2,"actor, director, producer",Pratas Conquistador (1917),15,4.4
11,nm0462949,Jacques A. Koerpel,9,9,1,1,"actor, director, producer, writer",War Is a Racket (1934),0,0.0
15,nm0138286,Pat Carlyle,18,18,2,1,"actor, director, producer",Maniac (1934),2887,3.7
16,nm0750975,Alice B. Russell,36,35,4,0,actress,Morocco (1930),8355,7.0
16,nm0519315,Raymond Longford,30,22,5,2,"actor, director, producer, writer",Morocco (1930),8355,7.0
16,nm0521121,Marie Lorraine,27,26,3,1,"actress, producer",Morocco (1930),8355,7.0
16,nm0104270,Kenneth Brampton,18,18,2,1,"actor, director, producer, writer",Morocco (1930),8355,7.0
16,nm0047150,Bert Bailey,9,9,1,1,"actor, producer, writer",Morocco (1930),8355,7.0
16,nm0497961,Norman Lee,9,9,1,1,"actor, director, producer, writer",Morocco (1930),8355,7.0
16,nm0709850,George Randol,9,9,1,0,actor,Morocco (1930),8355,7.0
16,nm1321727,William Green,9,9,1,0,actor,Morocco (1930),8355,7.0
16,nm0002035,Sammy Davis Jr.,7,7,1,0,actor,Morocco (1930),8355,7.0
22,nm0154504,Henrique Chaves,8,8,1,0,actor,A Voz do Carnaval (1933),13,5.6
27,nm0679609,Bhalachandra D. Phalke,9,9,1,0,actor,Raja Harishchandra (1913),487,5.9
30,nm0623419,Nazir,3,3,1,0,actor,Abe Hayat (1933),20,2.2
35,nm0595271,Sohrab Modi,9,9,1,0,"actor, director",Khoon Ka Khoon (1935),13,5.0
45,nm0106218,John Randolph Bray,1,1,1,211,"actor, director, producer, writer",The Artist's Dreams (1913),227,6.2
49,nm0913341,Bryant Washburn,1034,648,152,2,"actor, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0848232,Norma Talmadge,691,407,110,23,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0277411,Flora Finch,599,356,88,1,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0001932,Richard Barthelmess,565,446,70,2,"actor, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0829171,Anita Stewart,548,321,89,16,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0949403,Clara Kimball Young,541,379,74,6,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0604384,Harry T. Morey,512,325,73,0,actor,All Quiet on the Western Front (1930),71942,8.1
49,nm0848226,Constance Talmadge,502,349,78,1,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0085877,Carlyle Blackwell,470,297,73,4,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0408433,Ralph Ince,434,342,60,2,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0191899,Irving Cummings,433,340,61,7,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0933045,Ben F. Wilson,427,220,71,50,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0341464,Corinne Griffith,419,314,59,2,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0448682,Charles Kent,394,232,56,1,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0401967,William Humphrey,384,306,56,1,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0877550,Florence Turner,360,296,54,4,"actress, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0164244,Marguerite Clark,313,242,39,1,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0669410,Virginia Pearson,310,257,43,0,actress,All Quiet on the Western Front (1930),71942,8.1
49,nm0190516,James Cruze,255,135,39,29,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0047889,Leah Baird,248,192,43,2,"actress, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0871311,Richard Travers,195,163,29,0,actor,All Quiet on the Western Front (1930),71942,8.1
49,nm0437312,Gail Kane,191,169,28,0,actress,All Quiet on the Western Front (1930),71942,8.1
49,nm0237713,Sidney Drew,187,84,68,6,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0405098,Peggy Hyland,182,153,29,0,actress,All Quiet on the Western Front (1930),71942,8.1
49,nm0064600,Harry Beaumont,167,68,26,3,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0678232,Olga Petrova,141,96,21,1,"actress, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0237693,Mrs. Sidney Drew,136,55,63,2,"actress, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0710362,William V. Ranous,121,67,22,1,"actor, director, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0834970,Eugene Strong,110,104,15,0,actor,All Quiet on the Western Front (1930),71942,8.1
49,nm0220082,Joseph Depew,108,100,12,0,actor,All Quiet on the Western Front (1930),71942,8.1
49,nm0631438,William Nigh,104,80,14,2,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0163965,George Clarke,89,81,11,0,actor,All Quiet on the Western Front (1930),71942,8.1
49,nm0358991,Hope Hampton,83,79,12,2,"actress, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0198410,Arnold Daly,80,62,10,2,"actor, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0587754,Harry F. Millarde,78,30,15,2,"actor, director, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0276165,Romaine Fielding,72,66,11,1,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0012317,John G. Adolfi,70,49,10,1,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0139878,Thomas Carr,67,67,8,0,actor,All Quiet on the Western Front (1930),71942,8.1
49,nm0107543,Herbert Brenon,61,49,9,14,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0769144,Paul Scardon,61,50,9,1,"actor, director, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0532957,Charles W. Mack,57,56,7,4,"actor, director, producer",All Quiet on the Western Front (1930),71942,8.1
49,nm0782707,George B. Seitz,54,34,7,12,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
49,nm0584955,Beatriz Michelena,53,29,7,0,actress,All Quiet on the Western Front (1930),71942,8.1
49,nm0430968,Edward José,50,41,8,3,"actor, director, producer, writer",All Quiet on the Western Front (1930),71942,8.1
