community_id,community_size,rank_in_community,actor_name,actor_id,weighted_degree,degree,projects,main_genre
108,5460,1,Raymond Hatton,nm0369058,1517,896,185,Drama
108,5460,2,Tom Mix,nm0594291,1334,523,237,Western
108,5460,3,Noah Beery,nm0001935,1217,821,148,Drama
108,5460,4,Tully Marshall,nm0551222,1193,822,144,Drama
108,5460,5,Charles K. French,nm0294058,1188,779,156,Drama
108,5460,6,Josef Swickard,nm0842522,1181,748,153,Drama
108,5460,7,Joseph W. Girard,nm0320681,1134,783,158,Drama
108,5460,8,Lafe McKee,nm0571186,1090,601,137,Drama
108,5460,9,George Fawcett,nm0269493,1078,774,133,Drama
108,5460,10,Lucien Littlefield,nm0514707,1078,759,128,Drama
49,4530,1,Charles Ogle,nm0644728,1425,525,248,Drama
49,4530,2,Alec B. Francis,nm0290066,1241,835,154,Drama
49,4530,3,Bryant Washburn,nm0913341,1034,648,152,Drama
49,4530,4,Montagu Love,nm0002311,921,721,114,Drama
49,4530,5,Stuart Holmes,nm0392059,841,646,116,Drama
49,4530,6,Julia Swayne Gordon,nm0330352,788,510,106,Drama
49,4530,7,Arthur Housman,nm0396768,773,598,101,Comedy
49,4530,8,Anders Randolf,nm0709856,758,573,98,Drama
49,4530,9,Frank Currier,nm0193005,756,555,98,Drama
49,4530,10,Crauford Kent,nm0448696,734,620,94,Drama
66,3443,1,J. Farrell MacDonald,nm0531759,1270,925,152,Drama
66,3443,2,Zasu Pitts,nm0686032,1254,876,150,Comedy
66,3443,3,Richard Tucker,nm0875983,1136,803,148,Drama
66,3443,4,Eugene Pallette,nm0657874,1005,728,132,Drama
66,3443,5,Arthur Hoyt,nm0398446,998,773,121,Drama
66,3443,6,John Miljan,nm0587534,916,652,112,Drama
66,3443,7,Wade Boteler,nm0098424,876,696,105,Drama
66,3443,8,Fred Kohler,nm0463264,852,650,101,Drama
66,3443,9,Jean Hersholt,nm0380965,851,647,105,Drama
66,3443,10,Edmund Breese,nm0106785,841,621,102,Drama
115,3339,1,Paul Hörbiger,nm0405977,722,425,83,Comedy
115,3339,2,Conrad Veidt,nm0891998,689,468,88,Drama
115,3339,3,Julius Falkenstein,nm0266254,660,396,77,Comedy
115,3339,4,Werner Krauss,nm0470328,659,409,90,Drama
115,3339,5,Hans Albers,nm0002161,613,424,78,Drama
115,3339,6,Hans Junkermann,nm0432721,564,368,68,Comedy
115,3339,7,Adele Sandrock,nm0762277,550,375,64,Comedy
115,3339,8,Margarete Kupfer,nm0475470,531,346,65,Comedy
115,3339,9,Alfred Abel,nm0002154,499,355,61,Drama
115,3339,10,Olga Tschechowa,nm0874781,492,356,58,Drama
131,2515,1,John Stuart,nm0835738,330,267,43,Drama
131,2515,2,Syd Crossley,nm0189360,319,284,42,Comedy
131,2515,3,Gibb McLaughlin,nm0572324,319,272,39,Drama
131,2515,4,Donald Calthrop,nm0130740,285,244,34,Drama
131,2515,5,Gordon Harker,nm0363104,279,226,33,Drama
131,2515,6,Henry Victor,nm0896109,274,253,34,Drama
131,2515,7,Clifford Heatherley,nm0372751,273,224,33,Comedy
131,2515,8,Lawford Davidson,nm0203406,265,243,34,Drama
131,2515,9,Fred Groves,nm0344059,259,168,45,Drama
131,2515,10,John Loder,nm0517058,257,237,30,Drama
176,1827,1,José Montenegro,nm0599363,291,165,40,Drama
176,1827,2,Javier de Rivera,nm0729294,249,160,31,Drama
176,1827,3,María Anaya,nm0025753,236,162,29,Comedy
176,1827,4,María Comendador,nm0173732,191,120,23,Drama
176,1827,5,Joaquín Carrasco,nm0140054,161,107,32,Drama
176,1827,6,Elisa Ruiz Romero,nm0749652,161,107,21,Drama
176,1827,7,Modesto Rivas,nm0729099,159,113,20,Drama
176,1827,8,José Argüelles,nm0034616,142,120,19,Comedy
176,1827,9,Antonio Mata,nm0557991,137,96,18,Drama
176,1827,10,Antonio Gil Varela 'Varillas',nm0317715,132,103,17,Drama
112,1664,1,John Ekman,nm0252476,414,205,58,Drama
112,1664,2,Stina Berg,nm0073906,354,193,47,Drama
112,1664,3,Richard Lund,nm0526234,329,152,46,Drama
112,1664,4,Jenny Tschernichin-Larsson,nm0874799,322,153,44,Drama
112,1664,5,Karin Swanström,nm0841889,316,201,36,Drama
112,1664,6,Edvin Adolphson,nm0002158,300,192,35,Drama
112,1664,7,Nils Lundell,nm0526398,270,180,31,Drama
112,1664,8,Georg Blomstedt,nm0089002,264,188,30,Drama
112,1664,9,Dagmar Ebbesen,nm0247954,263,164,30,Comedy
112,1664,10,William Larsson,nm0489296,233,109,37,Drama
154,1599,1,Gaston Modot,nm0595321,204,177,27,Drama
154,1599,2,Gaston Jacquet,nm0415199,152,138,19,Drama
154,1599,3,Edmond Van Daële,nm0885965,149,134,19,Drama
154,1599,4,Charles Vanel,nm0889024,147,132,18,Drama
154,1599,5,Arlette Marchal,nm0545349,143,135,18,Drama
154,1599,6,Raymond Cordy,nm0179690,135,118,15,Drama
154,1599,7,Camille Bert,nm0077785,134,121,17,Drama
154,1599,8,Édouard Mathé,nm0559013,131,65,17,Drama
154,1599,9,Léon Mathot,nm0537222,130,105,21,Drama
154,1599,10,Berthe Jalabert,nm0416070,124,111,15,Drama
74,1256,1,Bebe Daniels,nm0199841,1791,584,219,Comedy
74,1256,2,Harold Lloyd,nm0516001,1519,287,187,Comedy
74,1256,3,Sammy Brooks,nm0112239,1298,237,146,Comedy
74,1256,4,'Snub' Pollard,nm0689444,1294,202,157,Comedy
74,1256,5,Edgar Kennedy,nm0448012,1265,644,165,Comedy
74,1256,6,Oliver Hardy,nm0001316,1195,466,177,Comedy
74,1256,7,Bud Jamison,nm0417168,1180,427,143,Comedy
